,Parent Category,Category,INDC Sector,INDC technology,Unconditional Target,Technology Needs,More information on INDC technology,TNA / TAP technology prioritised,More information of on TNA / TAP Technology,Actions / project ideas,Country,Valid?
0,MITIGATION,Energy Efficiency,Appliances and equipment,APPLIANCE STANDARDS,0,"Carbon fiance and project development skills. Information on available technologies, measurs, and financing skills. Traditional customs and administered pricing. Building codes, and standards on appliances and equipment. Clean cooking, heating and power projects. 100 mil/year",0,0,0,0,Afghanistan,1
1,MITIGATION,Energy Efficiency,Buildings,BUILDING STANDARDS AND CODES,0,0,0,2 - Small Hydropower,"potential for hydropower development estimated at 23,310MW3",Reduce dependence on imported electricity. Improving self-sufficiency in electricity generation and security of supply. Supplying a larger segment of the population with electricity,Afghanistan,1
2,MITIGATION,Energy Efficiency,Undefined,UNDEFINED,0,0,0,0,0,0,Afghanistan,1
3,MITIGATION,Renewable Energy,Undefined,UNDEFINED,0,"Human and institutional capacity for adoption of cleaner technology. Capital markets that encourage investment in decentralized systems. Information and intellectural property rights for mitigation technologies. Renewable energy, entry costs support, acces to capital, and subsidies. Environmental complicance standards (emission and indoor).  188 Million/year USD",0,0,0,0,Afghanistan,1
4,MITIGATION,Renewable Energy,Solar,SOLAR PV,0,0,0,Energy Sector - prioritization - 1 - Solar Energy - Connected to Grid,"Large-scale, - The main constraint to the deployment of solar PV systems in Afghanistan is due to
initial cost of investment which is very high in addition to the fact that the payment of acquisition
is cash instead of loans from Banks. Status of the Technology in Afghanistan - Access to commercial solar PV modules is made easy due to the maturity of such technology in Europe, USA, China and Japan
Local Production - Assembly of solar calls resulting in such modules locally in Afghanistan is
possible but not yet done. Generating Costs - Projections for the year 2015: total energy generation cost is in the range of 25 to 33 US cents/kWh ",0,Afghanistan,1
5,MITIGATION,Renewable Energy,Hydro,SMALL-SCALE HYDROPOWER,0,0,0,Energy Sector prioritization - 2 - Small Hydropower,"potential for hydropower development estimated at 23,310MW3",Reduce dependence on imported electricity. Improving self-sufficiency in electricity generation and security of supply. Supplying a larger segment of the population with electricity,Afghanistan,1
6,MITIGATION,Renewable Energy,Bioenergy,ENERGY SUPPLY FROM WASTE,0,0,0,Energy and Waste Sector prioritization - 3 - Waste to energy biomass,not recommended for prioritization,0,Afghanistan,1
7,MITIGATION,Renewable Energy,Bioenergy,BIOGAS POWER,0,0,0,Energy Sector prioritization - 4 - Biogas,not recommended for prioritization,0,Afghanistan,1
8,MITIGATION,Renewable Energy,Wind,UNDEFINED,0,0,0,Energy Sector prioritization - 5 - Wind Energy,not recommended for prioritization,0,Afghanistan,1
9,MITIGATION,Renewable Energy,Bioenergy,BIOMASS POWER,0,0,0,Waste Sector prioritzation - 8 - Cogeneration with biomass,not recommended for prioritization,0,Afghanistan,1
10,MITIGATION,Waste Management,Solid Waste,UNDEFINED,0,"Landfill management, decentralised wastewater treatment. Climate Project development skills. 74 mil/year USD",0,0,0,0,Afghanistan,1
11,MITIGATION,Waste Management,Wastewater,UNDEFINED,0,0,0,0,0,0,Afghanistan,1
12,MITIGATION,Waste Management,Undefined,UNDEFINED,0,0,0,0,0,0,Afghanistan,1
13,MITIGATION,Forestry,Forest management for mitigation,REFORESTATION,0,"Carbon sequestration on forest/rangelands, and forest carbon skills. Funding institutional capacity to monitor and verify projects. Better spatial planning for community and production agriculture. Reduce rural peoples' dependence on fuel for cooking and heating. 100 mil/year USD",0,0,0,0,Afghanistan,1
14,MITIGATION,Forestry,Forest management for mitigation,FOREST PROTECTION AND CONSERVATION,0,0,0,0,0,0,Afghanistan,1
15,MITIGATION,Industry,Mining & production,IMPROVED EFFICIENCY IN MINING AND RESOURCE EXTRACTION,0,"Cleaner coal mining, leave-it-in-the-ground approaches, combustion, and transportation of minearls. Hydrocarbon fields management. Technical industrial capacity to link basic industry and mining private and public sector with climate sector experts. 100 mil/year USD",0,0,0,0,Afghanistan,1
18,MITIGATION,Waste Management,Recylcing,UNDEFINED,0,0,0,"Waste Sector prioritization - 1 - Reduce, Reuse, Recycle (3R's)",Requires high degree of coordination and organization. Reduce pollution problems and improve the livelihood across the country. Create job opportunities and improve the socio-economic status of the urban population. Reduce GHG emissions across the country especially in the urban settlement.,"Decrease consumption levels. In copper mining, reuse/recycling creates 85% energy savings compared to primary production",Afghanistan,1
19,MITIGATION,Waste Management,Solid Waste,GASIFICATION OF WASTE,0,0,0,Waste Sector prioritization - 2 - Methane capture from landfills ,"Municipal Solid Waste, commercial and household sources. Methane capture from landfills to use as energy source; improving security of energy supply. ",Reduce pollution problems and improve the livelihood of urban areas. Create job opportunities and improve the socio-economic status of the urban population. Increase domestic electricity generation and ensure electricity security,Afghanistan,1
20,MITIGATION,Waste Management,Solid Waste,LANDFILL COMPOSTING,0,0,0,Waste Sector prioritization - 4 - Waste composting,not recommended for prioritization,0,Afghanistan,1
21,MITIGATION,Waste Management,Solid Waste,UNDEFINED,0,0,0,Waste Sector prioritization - 5 - Mechanical & biological treatment,not recommended for prioritization,0,Afghanistan,1
22,MITIGATION,Industry,Construction,EFFICIENT BRICK KILN,0,0,0,Energy and Waste Sector prioritization - 6 - Development of modern kilns manufacturing,not recommended for prioritization,0,Afghanistan,1
